well,depth,GR,RHOB,NPHI,PEF,CALI,FACIES
IHIALA-3,5539,41.1,2.31,0.258,1.86,8.84,sandstone
IHIALA-3,5540,39,2.321,0.169,1.75,9.11,sandstone
IHIALA-3,5541,51.1,2.335,0.186,1.78,8.69,sandstone
IHIALA-3,5542,43.1,2.335,0.218,1.68,8.76,sandstone
IHIALA-4,5589,120.2,2.591,0.295,3.54,8.65,shale
IHIALA-4,5590,119.1,2.527,0.285,3.26,9.22,shale
IHIALA-4,5591,132.5,2.523,0.3,2.94,8.64,shale
IHIALA-4,5592,109,2.505,0.327,3.4,8.71,shale
IHIALA-4,5593,106.5,2.587,0.354,3.02,8.7,shale
IHIALA-4,5594,37.5,2.238,0.173,1.44,8.98,sandstone
IHIALA-4,5595,50.5,2.246,0.186,1.86,8.95,sandstone
IHIALA-4,5596,48.3,2.273,0.179,1.67,8.71,sandstone
IHIALA-4,5597,44.3,2.297,0.159,2.27,8.76,sandstone
IHIALA-4,5598,31,2.338,0.195,1.59,8.65,sandstone
IHIALA-4,5599,43.3,2.4,0.206,1.66,8.75,sandstone
IHIALA-4,5600,35.4,2.238,0.178,1.95,8.97,sandstone
IHIALA-4,5601,42.1,2.348,0.213,1.6,8.71,sandstone
IHIALA-4,5602,32.9,2.325,0.148,1.77,8.74,sandstone
IHIALA-4,5603,41.4,2.287,0.29,1.91,8.87,sandstone
IHIALA-4,5604,43.7,2.34,0.24,2,9.33,sandstone
IHIALA-4,5605,41.9,2.37,0.201,1.74,8.73,sandstone
IHIALA-4,5606,34.1,2.362,0.236,1.91,8.71,sandstone
IHIALA-4,5607,42,2.307,0.17,2.24,8.92,sandstone
IHIALA-4,5608,49.3,2.319,0.201,1.67,8.77,sandstone
IHIALA-4,5609,31.9,2.314,0.202,1.77,8.77,sandstone
IHIALA-4,5610,31,2.364,0.196,1.87,8.65,sandstone
IHIALA-4,5611,54.3,2.328,0.278,1.87,8.83,sandstone
IHIALA-4,5612,27.1,2.349,0.194,1.64,9.12,sandstone
IHIALA-4,5613,48.2,2.323,0.204,1.94,8.77,sandstone
IHIALA-5,5640,28.2,2.68,0.043,4.8,8.83,limestone
IHIALA-5,5641,22.6,2.652,0.061,5.14,8.76,limestone
IHIALA-5,5642,25.2,2.646,0.093,5.15,8.84,limestone
IHIALA-5,5643,21.6,2.678,0.049,4.75,9.06,limestone
IHIALA-5,5644,19.3,2.685,0.09,4.8,8.61,limestone
IHIALA-5,5645,35.1,2.673,0.028,4.94,8.89,limestone
IHIALA-5,5646,22.5,2.664,0.095,5.56,8.63,limestone
IHIALA-5,5647,25.8,2.688,0.071,4.46,8.93,limestone
IHIALA-5,5648,28,2.68,0.097,4.64,8.83,limestone
IHIALA-5,5649,37.1,2.287,0.193,1.99,9.08,sandstone
IHIALA-5,5650,24.8,2.34,0.208,1.79,8.62,sandstone
IHIALA-5,5651,38.3,2.275,0.224,1.67,9.22,sandstone
IHIALA-5,5652,37.7,2.292,0.193,1.92,9,sandstone
IHIALA-5,5653,47,2.257,0.212,1.88,8.77,sandstone
IHIALA-5,5654,55.8,2.364,0.153,1.84,8.88,sandstone
IHIALA-5,5655,62.2,2.2,0.207,1.72,8.88,sandstone
IHIALA-5,5656,38.8,2.243,0.197,1.65,8.86,sandstone
IHIALA-5,5657,20.2,2.237,0.17,1.82,8.67,sandstone
IHIALA-5,5658,37.8,2.259,0.182,1.5,8.89,sandstone
IHIALA-5,5659,37.4,2.7,0.083,4.83,9.07,limestone
IHIALA-5,5660,23,2.694,0.051,4.72,8.85,limestone
IHIALA-5,5661,28.3,2.651,0.094,4.47,8.61,limestone
IHIALA-5,5662,24.6,2.641,0.071,4.62,9.06,limestone
IHIALA-5,5663,20.5,2.655,0.101,5.05,9,limestone
IHIALA-5,5664,27.1,2.632,0.088,4.53,8.91,limestone
IHIALA-6,5689,30.4,2.738,0.055,5.3,8.66,limestone
IHIALA-6,5690,47.6,2.321,0.213,2.22,8.74,sandstone
IHIALA-6,5691,36,2.341,0.234,1.93,8.79,sandstone
IHIALA-6,5692,48.9,2.351,0.244,1.77,8.9,sandstone
IHIALA-6,5693,32.1,2.301,0.219,1.96,8.82,sandstone
IHIALA-6,5694,44.6,2.312,0.164,1.89,8.67,sandstone
IHIALA-6,5695,47.1,2.293,0.188,1.58,8.7,sandstone
IHIALA-6,5696,33.2,2.295,0.211,1.83,8.61,sandstone
IHIALA-6,5697,114.6,2.529,0.305,3.19,8.7,shale
IHIALA-6,5698,118.3,2.547,0.323,3.61,8.76,shale
IHIALA-6,5699,97,2.51,0.31,3,8.87,shale
IHIALA-6,5700,72.5,2.34,0.181,2.75,8.68,shaly-sand
IHIALA-6,5701,79.8,2.334,0.214,2.11,8.78,shaly-sand
IHIALA-6,5702,36.5,2.42,0.32,2.59,8.96,shaly-sand
IHIALA-6,5703,57.3,2.371,0.22,2.32,8.89,shaly-sand
IHIALA-6,5704,35.2,2.338,0.272,2.44,8.86,shaly-sand
IHIALA-6,5705,30.2,2.662,0.093,5.16,8.9,limestone
IHIALA-6,5706,22.4,2.658,0.054,5.37,9.01,limestone
IHIALA-6,5707,33.3,2.65,0.097,4.66,8.76,limestone
IHIALA-6,5708,46.2,2.369,0.221,2.33,8.61,shaly-sand
IHIALA-6,5709,75.1,2.34,0.213,2.64,8.69,shaly-sand
IHIALA-6,5710,109,2.475,0.277,3.07,8.7,shale
IHIALA-6,5711,107.2,2.516,0.332,3.59,9.22,shale
IHIALA-6,5712,121.6,2.539,0.311,2.75,8.86,shale
IHIALA-6,5713,126.9,2.545,0.31,3.58,8.71,shale
