well,depth,GR,RHOB,NPHI,PEF,CALI,FACIES
OGBUNIKE-2,5091,25.1,2.671,0.078,4.65,8.72,limestone
OGBUNIKE-2,5092,32.5,2.697,0.091,5.18,8.85,limestone
OGBUNIKE-2,5093,16.2,2.683,0.05,4.66,8.94,limestone
OGBUNIKE-2,5094,69.4,2.287,0.215,2.55,8.7,shaly-sand
OGBUNIKE-2,5095,69,2.273,0.256,1.72,8.87,shaly-sand
OGBUNIKE-2,5096,59.6,2.428,0.185,1.95,8.77,shaly-sand
OGBUNIKE-2,5097,107.6,2.496,0.297,3.48,8.68,shale
OGBUNIKE-2,5098,116,2.522,0.329,2.84,8.66,shale
OGBUNIKE-2,5099,34.8,2.59,0.06,4.91,8.71,limestone
OGBUNIKE-2,5100,12.3,2.702,0.063,5.17,8.67,limestone
OGBUNIKE-2,5101,20.8,2.606,0.053,5.12,8.75,limestone
OGBUNIKE-2,5102,28.4,2.661,0.081,5.19,8.65,limestone
OGBUNIKE-2,5103,22.4,2.702,0.063,4.98,8.63,limestone
OGBUNIKE-2,5104,19.3,2.704,0.066,4.8,8.64,limestone
OGBUNIKE-3,5117,37.9,2.269,0.194,1.78,8.75,sandstone
OGBUNIKE-3,5118,32.2,2.249,0.174,1.75,9.03,sandstone
OGBUNIKE-3,5119,108.1,2.534,0.335,3.4,9.07,shale
OGBUNIKE-3,5120,52.5,2.324,0.235,1.62,8.6,sandstone
OGBUNIKE-3,5121,50.4,2.223,0.202,1.7,9.01,sandstone
OGBUNIKE-3,5122,42.4,2.331,0.202,2.12,8.67,sandstone
OGBUNIKE-3,5123,42.7,2.258,0.164,2.14,9.08,sandstone
OGBUNIKE-3,5124,37.2,2.269,0.21,1.97,8.66,sandstone
OGBUNIKE-3,5125,102.9,2.544,0.348,3.17,9.13,shale
OGBUNIKE-3,5126,104.9,2.554,0.309,3.17,9.26,shale
OGBUNIKE-3,5127,98.2,2.573,0.347,2.98,9.06,shale
OGBUNIKE-3,5128,105.5,2.596,0.319,3.09,8.62,shale
OGBUNIKE-3,5129,109.8,2.538,0.295,3.25,8.84,shale
OGBUNIKE-3,5130,99.7,2.483,0.279,3.67,8.7,shale
OGBUNIKE-3,5131,45.7,2.374,0.238,2.47,8.85,shaly-sand
OGBUNIKE-3,5132,71.6,2.304,0.239,3.08,8.82,shaly-sand
OGBUNIKE-3,5133,62.3,2.401,0.305,2.42,8.73,shaly-sand
OGBUNIKE-3,5134,61.6,2.445,0.249,3.02,8.6,shaly-sand
OGBUNIKE-3,5135,70.1,2.37,0.259,2.31,8.82,shaly-sand
OGBUNIKE-3,5136,122.3,2.506,0.311,3.44,8.92,shale
OGBUNIKE-3,5137,130.7,2.587,0.373,3.02,8.75,shale
OGBUNIKE-3,5138,27.6,2.667,0.035,5.28,8.72,limestone
OGBUNIKE-3,5139,25.4,2.651,0.075,4.87,8.69,limestone
OGBUNIKE-3,5140,13.3,2.663,0.062,5.1,8.79,limestone
OGBUNIKE-3,5141,32.6,2.662,0.082,4.6,8.84,limestone
OGBUNIKE-4,5176,41.6,2.346,0.223,1.65,9.29,sandstone
OGBUNIKE-4,5177,31.1,2.394,0.222,1.75,8.84,sandstone
OGBUNIKE-4,5178,38.6,2.27,0.218,1.67,8.78,sandstone
OGBUNIKE-4,5179,45.3,2.325,0.148,2.1,8.77,sandstone
OGBUNIKE-4,5180,44.3,2.217,0.22,1.54,8.66,sandstone
OGBUNIKE-4,5181,28.2,2.243,0.134,1.93,8.77,sandstone
OGBUNIKE-4,5182,47.8,2.263,0.245,1.49,8.76,sandstone
OGBUNIKE-4,5183,39,2.426,0.186,1.68,8.78,sandstone
OGBUNIKE-4,5184,38.1,2.358,0.2,1.86,8.65,sandstone
OGBUNIKE-4,5185,63.3,2.287,0.199,1.68,8.71,sandstone
OGBUNIKE-4,5186,45.7,2.346,0.235,2.72,8.67,shaly-sand
OGBUNIKE-4,5187,52.8,2.321,0.278,2,8.76,shaly-sand
OGBUNIKE-4,5188,61,2.382,0.2,2.29,8.72,shaly-sand
OGBUNIKE-4,5189,46.5,2.461,0.202,1.69,8.86,shaly-sand
OGBUNIKE-4,5190,47.2,2.414,0.223,3.14,8.7,shaly-sand
OGBUNIKE-4,5191,44.7,2.376,0.266,2.77,9.49,shaly-sand
OGBUNIKE-4,5192,48.1,2.406,0.223,2.02,8.95,shaly-sand
OGBUNIKE-4,5193,102.8,2.412,0.252,2.48,9.01,shaly-sand
OGBUNIKE-4,5194,67.3,2.353,0.265,2.09,8.92,shaly-sand
OGBUNIKE-4,5195,71.2,2.394,0.264,1.99,8.7,shaly-sand
OGBUNIKE-4,5196,66.1,2.414,0.232,1.91,9.07,shaly-sand
OGBUNIKE-4,5197,59.5,2.32,0.307,2.63,8.76,shaly-sand
OGBUNIKE-4,5198,36.8,2.369,0.177,2.4,8.65,shaly-sand
OGBUNIKE-4,5199,59.9,2.357,0.306,2.17,8.79,shaly-sand
OGBUNIKE-4,5200,86.4,2.293,0.313,2.3,8.9,shaly-sand
OGBUNIKE-5,5231,37,2.273,0.183,1.86,9.05,sandstone
OGBUNIKE-5,5232,52.1,2.197,0.218,1.4,8.72,sandstone
OGBUNIKE-5,5233,32.9,2.367,0.221,1.91,8.73,sandstone
OGBUNIKE-5,5234,31.2,2.295,0.183,1.61,8.82,sandstone
OGBUNIKE-5,5235,42.2,2.286,0.192,1.99,9.35,sandstone
OGBUNIKE-5,5236,101.9,2.476,0.361,3.38,8.93,shale
OGBUNIKE-5,5237,116,2.508,0.329,3.23,8.67,shale
OGBUNIKE-5,5238,104.8,2.509,0.264,3.21,9.22,shale
OGBUNIKE-5,5239,92.1,2.534,0.306,3.04,8.82,shale
OGBUNIKE-5,5240,111.3,2.548,0.323,3.2,8.69,shale
OGBUNIKE-5,5241,103.7,2.519,0.241,3.46,8.65,shale
OGBUNIKE-5,5242,101.2,2.499,0.315,2.94,9.21,shale
OGBUNIKE-5,5243,93.6,2.545,0.398,3.7,9.14,shale
OGBUNIKE-5,5244,104.8,2.472,0.332,3.13,8.82,shale
OGBUNIKE-5,5245,112.2,2.502,0.341,2.66,9.42,shale
OGBUNIKE-5,5246,94.4,2.579,0.305,3,8.68,shale
OGBUNIKE-5,5247,98.7,2.593,0.327,3.29,8.66,shale
OGBUNIKE-5,5248,101.2,2.521,0.32,3.08,8.65,shale
OGBUNIKE-5,5249,124.9,2.531,0.288,3.28,8.61,shale
OGBUNIKE-5,5250,108.8,2.571,0.394,3.6,8.74,shale
OGBUNIKE-5,5251,95.2,2.547,0.344,3.32,8.61,shale
OGBUNIKE-5,5252,21.5,2.667,0.038,5.36,8.71,limestone
OGBUNIKE-5,5253,27.5,2.628,0.059,4.8,8.95,limestone
OGBUNIKE-5,5254,32.2,2.692,0.057,4.99,8.63,limestone
OGBUNIKE-5,5255,26.3,2.653,0.072,4.55,8.61,limestone
OGBUNIKE-6,5285,49.3,2.315,0.188,1.22,8.98,sandstone
OGBUNIKE-6,5286,51.5,2.361,0.198,1.78,8.75,sandstone
OGBUNIKE-6,5287,48.4,2.356,0.237,1.73,8.61,sandstone
OGBUNIKE-6,5288,67.1,2.3,0.313,1.88,8.83,shaly-sand
OGBUNIKE-6,5289,48.5,2.302,0.236,1.8,8.76,sandstone
OGBUNIKE-6,5290,42.5,2.311,0.152,1.85,8.93,sandstone
OGBUNIKE-6,5291,62.3,2.36,0.206,1.83,8.65,sandstone
OGBUNIKE-6,5292,86,2.298,0.261,2.5,8.76,shaly-sand
OGBUNIKE-6,5293,72.8,2.415,0.23,2.06,8.9,shaly-sand
OGBUNIKE-6,5294,56,2.481,0.246,2.26,8.64,shaly-sand
OGBUNIKE-6,5295,64.8,2.385,0.221,2.34,8.72,shaly-sand
OGBUNIKE-6,5296,90.3,2.344,0.252,2.3,8.68,shaly-sand
OGBUNIKE-6,5297,104.5,2.594,0.383,3.38,8.89,shale
OGBUNIKE-6,5298,120.9,2.551,0.331,3.18,8.81,shale
OGBUNIKE-6,5299,92.9,2.553,0.363,3.09,8.62,shale
OGBUNIKE-6,5300,121.5,2.517,0.318,2.95,8.95,shale
OGBUNIKE-6,5301,86.6,2.427,0.312,3.16,8.69,shale
OGBUNIKE-6,5302,27.2,2.629,0.074,5.16,9.38,limestone
OGBUNIKE-6,5303,25.7,2.624,0.086,5.25,8.84,limestone
OGBUNIKE-6,5304,26.4,2.574,0.054,4.78,8.65,limestone
OGBUNIKE-6,5305,34.8,2.711,0.076,4.87,8.86,limestone
OGBUNIKE-6,5306,32.1,2.658,0.041,5.13,8.79,limestone
OGBUNIKE-6,5307,53.8,2.314,0.26,1.73,9.31,sandstone
OGBUNIKE-6,5308,44.3,2.197,0.198,1.84,8.72,sandstone
OGBUNIKE-6,5309,31.5,2.712,0.097,4.87,8.73,limestone
OGBUNIKE-7,5329,157.6,2.492,0.33,2.72,8.67,null
OGBUNIKE-7,5330,138.1,2.538,0.313,3.12,8.6,null
OGBUNIKE-7,5331,135.4,2.516,0.341,3.3,9.02,null
OGBUNIKE-7,5332,130.3,2.485,0.334,2.94,9.05,null
OGBUNIKE-7,5333,132.6,2.564,0.318,3.12,9.01,null
OGBUNIKE-7,5334,133.2,2.555,0.331,2.89,8.85,null
OGBUNIKE-7,5335,150.1,2.592,0.299,3.57,8.89,null
OGBUNIKE-7,5336,142.1,2.5,0.356,3.43,8.9,null
OGBUNIKE-7,5337,44.8,2.664,0.028,4.79,8.74,null
OGBUNIKE-7,5338,58.3,2.625,0.059,4.56,8.8,null
OGBUNIKE-7,5339,52.4,2.627,0.091,4.79,9.03,null
OGBUNIKE-7,5340,48.9,2.68,0.046,5.13,8.96,null
OGBUNIKE-7,5341,55.2,2.65,0.1,5.28,9.08,null
OGBUNIKE-7,5342,56.7,2.644,0.09,4.89,8.79,null
OGBUNIKE-7,5343,49,2.653,0.056,5.14,9.01,null
OGBUNIKE-7,5344,54,2.679,0.092,4.89,8.63,null
OGBUNIKE-7,5345,57.3,2.665,0.054,4.84,8.86,null
OGBUNIKE-7,5346,53.3,2.59,0.036,4.96,8.6,null
OGBUNIKE-7,5347,45.3,2.667,0.065,5.11,8.67,null
OGBUNIKE-7,5348,46.9,2.657,0.06,4.63,8.89,null
OGBUNIKE-7,5349,49.4,2.639,0.055,4.75,9.01,null
OGBUNIKE-7,5350,61.9,2.289,0.198,1.89,8.75,null
OGBUNIKE-7,5351,66.9,2.356,0.268,1.72,8.94,null
OGBUNIKE-7,5352,67.9,2.32,0.228,1.66,8.63,null
OGBUNIKE-7,5353,66.5,2.315,0.145,1.64,8.72,null
