well,depth,GR,RHOB,NPHI,PEF,CALI,FACIES
NKWELLE-4,7919,52.7,2.344,0.209,2.82,9.13,shaly-sand
NKWELLE-4,7920,27.7,2.65,0.069,4.63,8.79,limestone
NKWELLE-4,7921,29.1,2.678,0.042,4.67,8.85,limestone
NKWELLE-4,7922,36.5,2.689,0.058,4.63,8.61,limestone
NKWELLE-4,7923,46.5,2.354,0.174,1.53,8.88,sandstone
NKWELLE-4,7924,30.5,2.656,0.068,5.54,8.67,limestone
NKWELLE-5,7947,13.9,2.615,0.082,4.58,8.71,limestone
NKWELLE-5,7948,23.6,2.666,0.059,4.8,8.82,limestone
NKWELLE-5,7949,23.5,2.68,0.056,5.01,8.68,limestone
NKWELLE-5,7950,36.7,2.649,0.071,4.76,8.87,limestone
NKWELLE-5,7951,67.5,2.438,0.245,2.35,8.67,shaly-sand
NKWELLE-5,7952,20.8,2.664,0.086,5.26,8.67,limestone
NKWELLE-5,7953,14.8,2.619,0.06,5.16,8.97,limestone
NKWELLE-5,7954,27.3,2.698,0.076,5.01,8.86,limestone
NKWELLE-5,7955,63,2.345,0.319,2.97,9.1,shaly-sand
NKWELLE-5,7956,70.9,2.418,0.228,2.53,8.68,shaly-sand
NKWELLE-5,7957,17.6,2.68,0.1,5.18,8.66,limestone
NKWELLE-5,7958,53.6,2.291,0.24,1.78,8.86,sandstone
NKWELLE-5,7959,40.4,2.325,0.239,1.81,9.11,sandstone
NKWELLE-5,7960,40.3,2.295,0.222,1.29,8.65,sandstone
NKWELLE-5,7961,62.6,2.397,0.254,1.67,8.82,shaly-sand
NKWELLE-5,7962,26.1,2.655,0.081,5.24,8.93,limestone
NKWELLE-5,7963,25.4,2.68,0.087,4.47,8.82,limestone
NKWELLE-5,7964,32.2,2.679,0.05,5.02,8.88,limestone
NKWELLE-5,7965,22.7,2.626,0.058,4.82,9.14,limestone
NKWELLE-5,7966,27.6,2.646,0.065,4.94,8.9,limestone
NKWELLE-5,7967,9,2.612,0.044,4.36,8.65,limestone
NKWELLE-5,7968,27.2,2.656,0.052,4.97,8.86,limestone
NKWELLE-5,7969,22.3,2.615,0.068,4.66,8.8,limestone
NKWELLE-5,7970,20.6,2.673,0.049,5.31,8.82,limestone
NKWELLE-6,8001,32.8,2.603,0.065,4.95,8.61,limestone
NKWELLE-6,8002,24.4,2.663,0.038,5.02,8.79,limestone
NKWELLE-6,8003,35,2.625,0.051,4.56,9.3,limestone
NKWELLE-6,8004,59.3,2.434,0.277,2.03,8.69,shaly-sand
NKWELLE-6,8005,50.5,2.308,0.227,2,8.84,shaly-sand
NKWELLE-6,8006,86.4,2.313,0.175,2.67,8.62,shaly-sand
NKWELLE-6,8007,26.4,2.679,0.052,4.98,8.72,limestone
NKWELLE-6,8008,19.7,2.664,0.097,4.62,8.72,limestone
NKWELLE-6,8009,19.9,2.626,0.044,5.01,9.03,limestone
NKWELLE-6,8010,32.9,2.673,0.074,5.18,8.63,limestone
NKWELLE-6,8011,48.4,2.429,0.257,2.1,8.9,shaly-sand
NKWELLE-6,8012,47.9,2.369,0.269,2.4,9.3,shaly-sand
NKWELLE-6,8013,51.9,2.337,0.194,2.43,8.61,shaly-sand
NKWELLE-6,8014,68.4,2.418,0.247,2.67,8.69,shaly-sand
NKWELLE-6,8015,23.2,2.659,0.068,4.95,8.78,limestone
NKWELLE-6,8016,22.9,2.685,0.062,4.85,8.69,limestone
NKWELLE-6,8017,25.9,2.599,0.059,5.22,9.05,limestone
NKWELLE-6,8018,102.3,2.555,0.298,3.5,8.65,shale
NKWELLE-6,8019,140.4,2.42,0.29,3.21,9.28,shale
NKWELLE-6,8020,122,2.522,0.262,3.27,8.72,shale
NKWELLE-6,8021,43.3,2.302,0.238,1.83,8.65,sandstone
NKWELLE-6,8022,37.8,2.325,0.225,1.81,8.69,sandstone
NKWELLE-6,8023,54,2.25,0.185,1.91,8.66,sandstone
NKWELLE-6,8024,27.9,2.244,0.265,1.8,8.7,sandstone
NKWELLE-7,8056,22.7,2.613,0.061,5.29,8.61,limestone
NKWELLE-7,8057,21.8,2.639,0.103,5.12,8.9,limestone
NKWELLE-7,8058,18.4,2.638,0.06,4.62,8.79,limestone
NKWELLE-7,8059,16.9,2.662,0.105,5.15,8.66,limestone
NKWELLE-7,8060,24.2,2.316,0.202,1.91,8.92,sandstone
NKWELLE-7,8061,38.7,2.318,0.26,1.91,8.7,sandstone
NKWELLE-7,8062,51.2,2.276,0.17,1.81,9.11,sandstone
NKWELLE-7,8063,43.2,2.302,0.207,1.7,8.9,sandstone
NKWELLE-7,8064,47.3,2.395,0.263,3.36,9.13,shaly-sand
NKWELLE-7,8065,57.8,2.394,0.226,2.34,8.78,shaly-sand
NKWELLE-7,8066,53,2.308,0.195,2.32,8.73,shaly-sand
NKWELLE-7,8067,65.4,2.419,0.182,2.43,9.01,shaly-sand
NKWELLE-7,8068,30.6,2.607,0.087,4.62,8.72,limestone
NKWELLE-7,8069,24.2,2.629,0.089,4.98,9.14,limestone
NKWELLE-7,8070,31.3,2.634,0.115,4.95,8.69,limestone
NKWELLE-7,8071,24,2.666,0.059,5.03,8.87,limestone
NKWELLE-7,8072,17.6,2.708,0.057,4.79,8.68,limestone
NKWELLE-7,8073,27.3,2.641,0.077,4.82,8.99,limestone
NKWELLE-7,8074,23.2,2.702,0.06,4.82,8.65,limestone
NKWELLE-7,8075,23.9,2.648,0.068,4.69,9.51,limestone
NKWELLE-7,8076,18.9,2.683,0.033,5.23,8.98,limestone
NKWELLE-7,8077,32.1,2.404,0.19,2.18,8.82,sandstone
NKWELLE-7,8078,21.7,2.224,0.178,1.86,8.71,sandstone
NKWELLE-7,8079,46.8,2.353,0.203,1.75,8.69,sandstone
