well,depth,GR,RHOB,NPHI,RT,CALI,DT,PHIC,PAY,easting,northing,kb,mudWeight
AKPARA-2,6206,64.91,2.456,0.25,2.26,8.77,102.8,0.152,0,510.33,133.01,14.2,10
AKPARA-2,6207,30.75,2.29,0.266,32.18,8.92,96.3,0.262,1,510.33,133.01,14.2,10
AKPARA-2,6208,61.95,2.392,0.306,30.08,9.47,109.5,0.16,0,510.33,133.01,14.2,10
AKPARA-2,6209,18.5,2.171,0.311,32.79,8.81,98.2,0.273,1,510.33,133.01,14.2,10
AKPARA-2,6210,62.92,2.478,0.245,2.31,8.87,108.6,0.138,0,510.33,133.01,14.2,10
AKPARA-3,6216,42.34,2.398,0.205,1.73,8.99,94.2,0.162,0,509.59,131.55,16.5,10.6
AKPARA-3,6217,72.18,2.535,0.279,2.63,9.04,103.7,0.108,0,509.59,131.55,16.5,10.6
AKPARA-3,6218,96.02,2.673,0.233,4,9,108.8,0.025,0,509.59,131.55,16.5,10.6
AKPARA-3,6219,20.52,2.217,0.302,38.15,9.2,91.7,0.239,1,509.59,131.55,16.5,10.6
AKPARA-3,6220,59.13,2.41,0.272,27.82,9.21,95.5,0.171,1,509.59,131.55,16.5,10.6
AKPARA-3,6221,50.9,2.349,0.299,1.76,9.16,98.2,0.206,0,509.59,131.55,16.5,10.6
AKPARA-3,6222,33.05,2.204,0.313,39.69,8.98,96.7,0.265,1,509.59,131.55,16.5,10.6
AKPARA-3,6223,29.64,2.246,0.272,50.18,8.82,86.7,0.227,1,509.59,131.55,16.5,10.6
AKPARA-3,6224,41.02,2.223,0.296,1.49,8.92,96.9,0.259,0,509.59,131.55,16.5,10.6
AKPARA-3,6225,54.08,2.316,0.321,32.93,9.09,106.9,0.267,1,509.59,131.55,16.5,10.6
AKPARA-3,6226,59.09,2.413,0.255,26.05,8.83,95.6,0.147,0,509.59,131.55,16.5,10.6
AKPARA-3,6227,51.62,2.377,0.261,39.02,9.07,94,0.187,1,509.59,131.55,16.5,10.6
AKPARA-3,6228,54.98,2.294,0.293,29.64,9.13,101.3,0.263,1,509.59,131.55,16.5,10.6
AKPARA-3,6229,57.85,2.407,0.257,31.88,9.08,95.6,0.127,0,509.59,131.55,16.5,10.6
AKPARA-3,6230,26.36,2.111,0.342,50.64,8.79,98.7,0.319,1,509.59,131.55,16.5,10.6
AKPARA-3,6231,53.85,2.33,0.309,1.96,8.89,107.5,0.247,0,509.59,131.55,16.5,10.6
AKPARA-3,6232,56.29,2.286,0.311,38.39,8.78,100.3,0.237,1,509.59,131.55,16.5,10.6
AKPARA-3,6233,75.1,2.521,0.288,3.07,8.92,112.6,0.146,0,509.59,131.55,16.5,10.6
AKPARA-3,6234,75.56,2.514,0.254,2.63,8.79,103.3,0.121,0,509.59,131.55,16.5,10.6
AKPARA-3,6235,49.1,2.276,0.29,27.7,9.1,99.6,0.224,1,509.59,131.55,16.5,10.6
AKPARA-3,6236,31.52,2.273,0.253,43.72,8.86,91.9,0.253,1,509.59,131.55,16.5,10.6
AKPARA-3,6237,54.95,2.361,0.286,1.86,8.8,95.9,0.212,0,509.59,131.55,16.5,10.6
AKPARA-3,6238,49.04,2.269,0.316,44.15,8.88,107.6,0.278,1,509.59,131.55,16.5,10.6
AKPARA-3,6239,21.64,2.137,0.306,37.23,9.06,95.3,0.297,1,509.59,131.55,16.5,10.6
AKPARA-4,6277,33.99,2.292,0.284,34.92,8.86,103.1,0.262,1,506.09,134.22,17.6,10
AKPARA-4,6278,46.51,2.455,0.216,29.05,8.85,104.2,0.146,0,506.09,134.22,17.6,10
AKPARA-4,6279,87.83,2.647,0.241,3.23,8.78,112.8,0.083,0,506.09,134.22,17.6,10
AKPARA-4,6280,52.08,2.375,0.26,2.18,8.77,100.7,0.169,0,506.09,134.22,17.6,10
AKPARA-4,6281,82.95,2.566,0.26,3.12,8.75,114.3,0.097,0,506.09,134.22,17.6,10
AKPARA-4,6282,79.1,2.645,0.203,2.93,9.03,106.8,0.085,0,506.09,134.22,17.6,10
AKPARA-4,6283,68.65,2.546,0.226,2.78,9.36,111.4,0.121,0,506.09,134.22,17.6,10
AKPARA-4,6284,76.23,2.563,0.234,3.38,9.07,111,0.066,0,506.09,134.22,17.6,10
AKPARA-4,6285,61.16,2.415,0.261,22.18,8.79,109,0.153,0,506.09,134.22,17.6,10
AKPARA-4,6286,34.8,2.338,0.252,33.38,9.21,101.9,0.224,1,506.09,134.22,17.6,10
AKPARA-4,6287,53.95,2.416,0.276,34.99,8.83,108.6,0.175,1,506.09,134.22,17.6,10
AKPARA-4,6288,29.54,2.26,0.259,31.09,9.34,97.7,0.256,1,506.09,134.22,17.6,10
AKPARA-4,6289,77.31,2.446,0.293,2.79,8.99,117.1,0.153,0,506.09,134.22,17.6,10
AKPARA-4,6290,56.37,2.351,0.299,29.37,8.95,113.9,0.209,1,506.09,134.22,17.6,10
AKPARA-4,6291,65.34,2.576,0.211,2.81,8.76,101.6,0.092,0,506.09,134.22,17.6,10
AKPARA-4,6292,42.07,2.285,0.31,1.96,8.83,114.9,0.237,0,506.09,134.22,17.6,10
AKPARA-4,6293,46.25,2.325,0.267,1.46,8.85,98.4,0.228,0,506.09,134.22,17.6,10
AKPARA-4,6294,92.89,2.624,0.206,2.55,9,111.2,0.054,0,506.09,134.22,17.6,10
AKPARA-4,6295,26.94,2.177,0.301,1.19,9.07,101,0.289,0,506.09,134.22,17.6,10
AKPARA-4,6296,77.42,2.575,0.249,3.44,9.21,110.6,0.143,0,506.09,134.22,17.6,10
AKPARA-4,6297,78.7,2.514,0.268,3.08,8.98,117.6,0.128,0,506.09,134.22,17.6,10
AKPARA-4,6298,61.39,2.354,0.299,2.29,9.09,111.8,0.239,0,506.09,134.22,17.6,10
AKPARA-4,6299,51.56,2.334,0.298,2.14,8.93,108.5,0.205,0,506.09,134.22,17.6,10
AKPARA-4,6300,38.34,2.215,0.296,1.36,8.98,99.5,0.254,0,506.09,134.22,17.6,10
AKPARA-5,6311,48.96,2.306,0.293,1.9,9.34,108.6,0.249,0,507.37,131.46,12.4,9.8
AKPARA-5,6312,68.23,2.428,0.274,2.1,9.28,104.5,0.162,0,507.37,131.46,12.4,9.8
AKPARA-5,6313,23.45,2.254,0.251,1.21,8.95,96.8,0.249,0,507.37,131.46,12.4,9.8
AKPARA-5,6314,85.77,2.495,0.291,23.97,9.22,118,0.135,0,507.37,131.46,12.4,9.8
AKPARA-5,6315,29.43,2.094,0.357,43.45,9.03,105.8,0.352,1,507.37,131.46,12.4,9.8
AKPARA-5,6316,39.63,2.258,0.317,1.75,9.04,100.9,0.248,0,507.37,131.46,12.4,9.8
AKPARA-5,6317,39.41,2.299,0.29,40.74,8.85,103.4,0.239,1,507.37,131.46,12.4,9.8
AKPARA-5,6318,71.29,2.432,0.295,29.18,8.76,111.5,0.177,1,507.37,131.46,12.4,9.8
AKPARA-5,6319,56.44,2.314,0.273,1.88,8.97,111.1,0.218,0,507.37,131.46,12.4,9.8
AKPARA-5,6320,70.5,2.465,0.298,2.75,8.86,112.3,0.146,0,507.37,131.46,12.4,9.8
AKPARA-5,6321,72.76,2.49,0.261,3.4,8.76,109.8,0.124,0,507.37,131.46,12.4,9.8
AKPARA-5,6322,49.48,2.342,0.299,2.45,8.96,108.6,0.22,0,507.37,131.46,12.4,9.8
AKPARA-5,6323,81.91,2.545,0.284,3.8,8.8,118.1,0.119,0,507.37,131.46,12.4,9.8
AKPARA-5,6324,52.42,2.315,0.286,1.79,8.98,106,0.215,0,507.37,131.46,12.4,9.8
AKPARA-5,6325,70.57,2.501,0.245,2.62,8.81,105.6,0.095,0,507.37,131.46,12.4,9.8
AKPARA-5,6326,49.71,2.351,0.236,24.34,9.25,100.2,0.233,1,507.37,131.46,12.4,9.8
AKPARA-5,6327,80.28,2.515,0.238,2.68,8.9,104.7,0.1,0,507.37,131.46,12.4,9.8
AKPARA-5,6328,50.53,2.354,0.267,1.56,8.8,98,0.173,0,507.37,131.46,12.4,9.8
AKPARA-5,6329,29.33,2.241,0.28,47.04,8.78,95,0.229,1,507.37,131.46,12.4,9.8
AKPARA-5,6330,46.08,2.326,0.266,28.11,8.88,101.3,0.189,1,507.37,131.46,12.4,9.8
AKPARA-5,6331,31.96,2.299,0.275,38.03,9.36,100.5,0.228,1,507.37,131.46,12.4,9.8
AKPARA-5,6332,46.23,2.408,0.218,30.34,8.84,97.4,0.147,0,507.37,131.46,12.4,9.8
AKPARA-5,6333,84.81,2.675,0.219,2.97,9.24,114.6,0.042,0,507.37,131.46,12.4,9.8
AKPARA-5,6334,51.19,2.324,0.298,34.03,9.11,100.1,0.25,1,507.37,131.46,12.4,9.8
AKPARA-6,6363,70.38,2.379,0.327,2.71,8.85,113.1,0.224,0,510.27,132.69,18.8,9.9
AKPARA-6,6364,65.5,2.488,0.24,2.21,8.85,99.7,0.109,0,510.27,132.69,18.8,9.9
AKPARA-6,6365,86.44,2.639,0.237,2.61,8.91,105.6,0.048,0,510.27,132.69,18.8,9.9
AKPARA-6,6366,43.1,2.277,0.301,1.66,9.25,103.5,0.243,0,510.27,132.69,18.8,9.9
AKPARA-6,6367,41.83,2.313,0.293,1.82,9.04,101.8,0.253,0,510.27,132.69,18.8,9.9
AKPARA-6,6368,51.19,2.378,0.284,28.84,8.95,101.4,0.204,1,510.27,132.69,18.8,9.9
AKPARA-6,6369,51.29,2.341,0.254,1.74,9.17,99.2,0.197,0,510.27,132.69,18.8,9.9
AKPARA-6,6370,75.15,2.534,0.261,2.59,8.77,108.5,0.095,0,510.27,132.69,18.8,9.9
AKPARA-6,6371,53.14,2.298,0.295,38.35,8.77,101.8,0.244,1,510.27,132.69,18.8,9.9
AKPARA-6,6372,36.5,2.43,0.203,1.71,9.13,86.1,0.128,0,510.27,132.69,18.8,9.9
AKPARA-6,6373,47.59,2.325,0.216,28.08,8.92,93.5,0.181,1,510.27,132.69,18.8,9.9
AKPARA-6,6374,45.47,2.302,0.287,1.76,9.17,100.8,0.248,0,510.27,132.69,18.8,9.9
AKPARA-6,6375,28.32,2.354,0.247,1.44,8.97,91.8,0.22,0,510.27,132.69,18.8,9.9
AKPARA-6,6376,36.78,2.28,0.256,1.47,9.13,92.5,0.233,0,510.27,132.69,18.8,9.9
AKPARA-6,6377,30.54,2.27,0.295,25.92,8.81,95.3,0.281,1,510.27,132.69,18.8,9.9
AKPARA-6,6378,48.41,2.321,0.274,1.91,8.88,98.6,0.229,0,510.27,132.69,18.8,9.9
AKPARA-6,6379,60.99,2.364,0.281,2.02,8.76,105.2,0.187,0,510.27,132.69,18.8,9.9
AKPARA-6,6380,83.08,2.452,0.311,40.5,8.79,118.5,0.183,1,510.27,132.69,18.8,9.9
AKPARA-6,6381,70.64,2.424,0.289,26.67,8.77,110.8,0.18,1,510.27,132.69,18.8,9.9
AKPARA-6,6382,48.77,2.282,0.274,1.52,9.18,99,0.245,0,510.27,132.69,18.8,9.9
AKPARA-6,6383,61.51,2.376,0.289,25.24,9.37,109.9,0.171,1,510.27,132.69,18.8,9.9
AKPARA-6,6384,62.24,2.435,0.265,27.07,8.95,102.3,0.182,1,510.27,132.69,18.8,9.9
AKPARA-6,6385,21.91,2.196,0.262,27.72,9.09,93.9,0.266,1,510.27,132.69,18.8,9.9
AKPARA-6,6386,36.1,2.25,0.232,1.28,8.9,89.4,0.224,0,510.27,132.69,18.8,9.9
AKPARA-7,6423,68.98,2.498,0.24,2.66,8.87,107.5,0.101,0,506.25,133.34,25.8,10.5
AKPARA-7,6424,25.98,2.218,0.273,32.59,8.76,97.9,0.25,1,506.25,133.34,25.8,10.5
AKPARA-7,6425,22.32,2.219,0.263,1.21,8.82,94.5,0.227,0,506.25,133.34,25.8,10.5
AKPARA-7,6426,24.99,2.245,0.277,31.37,8.75,100.1,0.239,1,506.25,133.34,25.8,10.5
AKPARA-7,6427,56.1,2.283,0.338,32.85,9.08,115.2,0.213,1,506.25,133.34,25.8,10.5
AKPARA-7,6428,35.45,2.292,0.257,1.42,9.15,95.8,0.226,0,506.25,133.34,25.8,10.5
AKPARA-7,6429,40.5,2.331,0.238,1.56,8.98,93,0.209,0,506.25,133.34,25.8,10.5
AKPARA-7,6430,61.75,2.421,0.245,2.11,8.84,105.9,0.177,0,506.25,133.34,25.8,10.5
AKPARA-7,6431,26.1,2.176,0.285,46.26,9.21,98.9,0.27,1,506.25,133.34,25.8,10.5
AKPARA-7,6432,51.45,2.362,0.282,32.2,9.27,107.3,0.246,1,506.25,133.34,25.8,10.5
AKPARA-7,6433,62.53,2.407,0.273,30.4,8.82,112,0.181,1,506.25,133.34,25.8,10.5
AKPARA-7,6434,70.17,2.467,0.266,3.58,8.79,113.2,0.149,0,506.25,133.34,25.8,10.5
AKPARA-7,6435,65.11,2.457,0.242,2.54,9.02,106.7,0.132,0,506.25,133.34,25.8,10.5
AKPARA-7,6436,41.61,2.259,0.306,43.05,9.13,103.5,0.261,1,506.25,133.34,25.8,10.5
AKPARA-7,6437,63.96,2.39,0.298,1.95,8.82,113.1,0.139,0,506.25,133.34,25.8,10.5
AKPARA-7,6438,64,2.389,0.282,2.16,9.49,114.1,0.213,0,506.25,133.34,25.8,10.5
AKPARA-7,6439,34.83,2.302,0.263,28.89,8.85,95.1,0.255,1,506.25,133.34,25.8,10.5
AKPARA-7,6440,24.96,2.171,0.288,59.87,9.11,97.5,0.276,1,506.25,133.34,25.8,10.5
AKPARA-7,6441,34.48,2.238,0.306,36.77,9.03,98,0.268,1,506.25,133.34,25.8,10.5
AKPARA-7,6442,28.4,2.143,0.312,52.06,9,98,0.31,1,506.25,133.34,25.8,10.5
AKPARA-7,6443,64.82,2.426,0.249,33.38,9.05,108.9,0.128,0,506.25,133.34,25.8,10.5
AKPARA-7,6444,65.46,2.51,0.243,2.48,8.76,103.9,0.108,0,506.25,133.34,25.8,10.5
AKPARA-7,6445,73.15,2.52,0.243,2.83,8.85,108.1,0.134,0,506.25,133.34,25.8,10.5
AKPARA-7,6446,81.28,2.59,0.244,2.64,8.95,107.6,0.075,0,506.25,133.34,25.8,10.5
