well,depth,GR,RHOB,NPHI,RT,CALI,DT,PHIC,PAY,easting,northing,kb,mudWeight
OBORIA-3,9423,55.26,2.386,0.251,2.04,8.95,102.5,0.177,0,509.86,133.99,25,9.8
OBORIA-3,9424,23.88,2.178,0.303,36.38,9.18,101.9,0.271,1,509.86,133.99,25,9.8
OBORIA-3,9425,22.08,2.266,0.25,1.18,8.79,88.8,0.254,0,509.86,133.99,25,9.8
OBORIA-3,9426,47.69,2.38,0.239,45.32,8.77,99.6,0.191,1,509.86,133.99,25,9.8
OBORIA-3,9427,54.07,2.334,0.253,24.47,8.8,99.6,0.186,1,509.86,133.99,25,9.8
OBORIA-3,9428,57.2,2.383,0.27,31.75,8.99,115.2,0.194,1,509.86,133.99,25,9.8
OBORIA-3,9429,54.26,2.401,0.237,26.57,9.66,99.7,0.173,0,509.86,133.99,25,9.8
OBORIA-3,9430,56.86,2.383,0.243,1.99,8.95,104.3,0.194,0,509.86,133.99,25,9.8
OBORIA-3,9431,28.98,2.216,0.295,1.16,8.98,98.4,0.288,0,509.86,133.99,25,9.8
OBORIA-3,9432,64.48,2.533,0.261,2.31,9.16,110.1,0.118,0,509.86,133.99,25,9.8
OBORIA-3,9433,25.93,2.294,0.232,36.08,9.11,91.8,0.205,1,509.86,133.99,25,9.8
OBORIA-3,9434,35.59,2.204,0.284,53.12,9.13,105.2,0.304,1,509.86,133.99,25,9.8
OBORIA-3,9435,80.46,2.621,0.226,2.53,8.84,111.4,0.064,0,509.86,133.99,25,9.8
OBORIA-4,9475,25.47,2.269,0.277,1.25,9.37,88.2,0.231,0,510.44,132.29,20.5,9.9
OBORIA-4,9476,22.88,2.124,0.339,1.17,8.78,98.8,0.305,0,510.44,132.29,20.5,9.9
OBORIA-4,9477,78.76,2.515,0.283,3.63,8.89,116,0.134,0,510.44,132.29,20.5,9.9
OBORIA-4,9478,68.39,2.434,0.283,23.83,8.91,114.6,0.205,1,510.44,132.29,20.5,9.9
OBORIA-4,9479,43.31,2.287,0.272,47.96,8.81,98.6,0.217,1,510.44,132.29,20.5,9.9
OBORIA-4,9480,60.18,2.33,0.367,2.93,8.78,119.9,0.252,0,510.44,132.29,20.5,9.9
OBORIA-4,9481,84.84,2.603,0.224,2.66,8.92,110.3,0.051,0,510.44,132.29,20.5,9.9
OBORIA-4,9482,72.77,2.551,0.219,2.79,9.06,104.4,0.119,0,510.44,132.29,20.5,9.9
OBORIA-4,9483,22.46,2.262,0.258,30.2,8.81,93.5,0.259,1,510.44,132.29,20.5,9.9
OBORIA-4,9484,55.07,2.401,0.249,2.41,8.78,100.1,0.199,0,510.44,132.29,20.5,9.9
OBORIA-4,9485,27.23,2.05,0.376,1.19,8.87,103.7,0.361,0,510.44,132.29,20.5,9.9
OBORIA-4,9486,42.89,2.324,0.295,38.68,8.91,101.8,0.227,1,510.44,132.29,20.5,9.9
OBORIA-4,9487,57.37,2.391,0.262,1.95,9.12,101.5,0.138,0,510.44,132.29,20.5,9.9
OBORIA-4,9488,72.06,2.43,0.268,40.59,9.25,106.8,0.165,0,510.44,132.29,20.5,9.9
OBORIA-4,9489,30.31,2.245,0.289,33.26,8.85,97.8,0.233,1,510.44,132.29,20.5,9.9
OBORIA-4,9490,102.96,2.693,0.281,3.26,8.91,119.3,0.033,0,510.44,132.29,20.5,9.9
OBORIA-4,9491,45.89,2.38,0.238,1.85,9.02,95.2,0.207,0,510.44,132.29,20.5,9.9
OBORIA-4,9492,47.45,2.35,0.294,1.91,8.89,98.4,0.219,0,510.44,132.29,20.5,9.9
OBORIA-4,9493,100.27,2.65,0.245,3.32,9.39,115.8,0.048,0,510.44,132.29,20.5,9.9
OBORIA-4,9494,72.98,2.485,0.291,2.5,8.89,112.7,0.165,0,510.44,132.29,20.5,9.9
OBORIA-4,9495,34.87,2.211,0.318,1.51,8.78,98.3,0.247,0,510.44,132.29,20.5,9.9
OBORIA-4,9496,69.5,2.519,0.269,2.62,8.77,110.1,0.122,0,510.44,132.29,20.5,9.9
OBORIA-4,9497,64.98,2.571,0.181,2.85,8.95,105.2,0.09,0,510.44,132.29,20.5,9.9
OBORIA-4,9498,45.03,2.349,0.248,30.46,8.75,95.2,0.21,1,510.44,132.29,20.5,9.9
OBORIA-4,9499,74.21,2.448,0.283,27.56,9.08,116,0.161,0,510.44,132.29,20.5,9.9
OBORIA-5,9519,39.62,2.35,0.235,35.2,8.81,93.1,0.186,1,507.15,132.23,24.2,9.4
OBORIA-5,9520,73.04,2.548,0.275,3.25,8.92,111.6,0.101,0,507.15,132.23,24.2,9.4
OBORIA-5,9521,82.23,2.609,0.224,4.13,8.79,111.7,0.082,0,507.15,132.23,24.2,9.4
OBORIA-5,9522,18.75,2.189,0.303,1.17,9.11,99.1,0.3,0,507.15,132.23,24.2,9.4
OBORIA-5,9523,36.8,2.22,0.316,1.41,8.85,101.4,0.275,0,507.15,132.23,24.2,9.4
OBORIA-5,9524,31.99,2.276,0.243,27.29,8.87,90.9,0.237,1,507.15,132.23,24.2,9.4
OBORIA-5,9525,27.47,2.155,0.332,46.94,8.89,103.9,0.316,1,507.15,132.23,24.2,9.4
OBORIA-5,9526,59.63,2.402,0.248,31.63,8.91,104.5,0.187,1,507.15,132.23,24.2,9.4
OBORIA-5,9527,71.41,2.573,0.254,4.05,9.54,104.9,0.096,0,507.15,132.23,24.2,9.4
OBORIA-5,9528,62.62,2.383,0.294,46.25,8.95,109.4,0.186,1,507.15,132.23,24.2,9.4
OBORIA-5,9529,34.23,2.109,0.334,1.24,8.79,107.5,0.336,0,507.15,132.23,24.2,9.4
OBORIA-5,9530,35.76,2.41,0.205,1.48,8.86,82.9,0.171,0,507.15,132.23,24.2,9.4
OBORIA-5,9531,57.56,2.455,0.22,1.88,8.92,100.3,0.145,0,507.15,132.23,24.2,9.4
OBORIA-5,9532,50.04,2.363,0.269,1.83,9.23,103.3,0.183,0,507.15,132.23,24.2,9.4
OBORIA-5,9533,24.01,2.132,0.324,1.21,9.29,104.6,0.319,0,507.15,132.23,24.2,9.4
OBORIA-5,9534,74.55,2.561,0.224,2.96,9.24,105.7,0.11,0,507.15,132.23,24.2,9.4
OBORIA-5,9535,18.19,2.223,0.269,39.88,8.89,90.4,0.25,1,507.15,132.23,24.2,9.4
OBORIA-5,9536,20.12,2.093,0.329,1.17,9.54,101,0.353,0,507.15,132.23,24.2,9.4
OBORIA-5,9537,74.55,2.608,0.224,2.92,8.85,105.7,0.066,0,507.15,132.23,24.2,9.4
OBORIA-5,9538,48.26,2.414,0.281,29.6,9.18,105.5,0.164,0,507.15,132.23,24.2,9.4
OBORIA-5,9539,22.98,2.146,0.335,1.19,8.83,98.5,0.325,0,507.15,132.23,24.2,9.4
OBORIA-5,9540,77.23,2.598,0.252,2.96,8.88,113.3,0.053,0,507.15,132.23,24.2,9.4
OBORIA-5,9541,23.53,2.227,0.256,1.15,8.85,93.3,0.236,0,507.15,132.23,24.2,9.4
OBORIA-5,9542,64.28,2.484,0.249,2.17,9.04,112.2,0.149,0,507.15,132.23,24.2,9.4
OBORIA-5,9543,86.82,2.608,0.237,2.77,8.8,115.1,0.082,0,507.15,132.23,24.2,9.4
OBORIA-6,9548,46.96,2.344,0.274,2.05,9.16,105.1,0.184,0,507.74,131.69,17.4,9.6
OBORIA-6,9549,53.95,2.469,0.239,24.5,8.91,102.5,0.135,0,507.74,131.69,17.4,9.6
OBORIA-6,9550,101.66,2.674,0.26,3.34,8.77,122,0.038,0,507.74,131.69,17.4,9.6
OBORIA-6,9551,76.86,2.568,0.245,2.61,9.47,108,0.087,0,507.74,131.69,17.4,9.6
OBORIA-6,9552,55.42,2.469,0.251,21.98,9.02,101.1,0.148,0,507.74,131.69,17.4,9.6
OBORIA-6,9553,54.92,2.388,0.281,40,9.04,104.5,0.17,0,507.74,131.69,17.4,9.6
OBORIA-6,9554,57.44,2.338,0.297,31.86,8.87,106.8,0.238,1,507.74,131.69,17.4,9.6
OBORIA-6,9555,67.38,2.384,0.306,25.52,9.09,107.2,0.165,0,507.74,131.69,17.4,9.6
OBORIA-6,9556,42.5,2.224,0.289,39.38,9.22,97.8,0.268,1,507.74,131.69,17.4,9.6
OBORIA-6,9557,30.88,2.287,0.239,43.5,8.78,91.8,0.239,1,507.74,131.69,17.4,9.6
OBORIA-6,9558,38.15,2.287,0.285,33.86,9.14,101.2,0.246,1,507.74,131.69,17.4,9.6
OBORIA-6,9559,73.43,2.516,0.268,3.08,9.14,106.1,0.11,0,507.74,131.69,17.4,9.6
OBORIA-6,9560,55.41,2.382,0.26,28.49,8.92,105.5,0.191,1,507.74,131.69,17.4,9.6
OBORIA-6,9561,75.08,2.43,0.286,26.56,8.85,111.1,0.182,1,507.74,131.69,17.4,9.6
OBORIA-6,9562,45.77,2.229,0.294,1.61,8.76,106.1,0.262,0,507.74,131.69,17.4,9.6
OBORIA-6,9563,31.6,2.345,0.24,29.59,9.04,93.5,0.223,1,507.74,131.69,17.4,9.6
OBORIA-6,9564,50.25,2.25,0.335,51.01,9.06,109.6,0.291,1,507.74,131.69,17.4,9.6
OBORIA-6,9565,48.55,2.222,0.325,54.32,8.96,101.4,0.283,1,507.74,131.69,17.4,9.6
OBORIA-6,9566,33.54,2.244,0.298,1.42,9.4,101.8,0.246,0,507.74,131.69,17.4,9.6
OBORIA-6,9567,58.46,2.399,0.244,24.53,9.09,103.5,0.168,0,507.74,131.69,17.4,9.6
OBORIA-6,9568,48.77,2.338,0.292,33.62,9.48,110.3,0.236,1,507.74,131.69,17.4,9.6
OBORIA-6,9569,46.74,2.407,0.27,27.19,8.96,108.2,0.155,0,507.74,131.69,17.4,9.6
OBORIA-6,9570,69.8,2.469,0.251,26.93,8.84,107.4,0.179,0,507.74,131.69,17.4,9.6
OBORIA-6,9571,87,2.573,0.243,2.83,8.83,108,0.07,0,507.74,131.69,17.4,9.6
OBORIA-6,9572,61.91,2.499,0.232,2.16,8.79,100.6,0.138,0,507.74,131.69,17.4,9.6
OBORIA-7,9616,46.67,2.298,0.29,38.66,9.02,99.9,0.213,1,508.38,134.66,18.1,10.5
OBORIA-7,9617,38.85,2.279,0.288,53.37,8.92,97.4,0.232,1,508.38,134.66,18.1,10.5
OBORIA-7,9618,24.75,2.211,0.328,1.45,9.12,92.4,0.256,0,508.38,134.66,18.1,10.5
OBORIA-7,9619,67.22,2.463,0.276,2.14,9.26,106.9,0.136,0,508.38,134.66,18.1,10.5
OBORIA-7,9620,46.5,2.377,0.253,2.29,9.42,91.8,0.175,0,508.38,134.66,18.1,10.5
OBORIA-7,9621,89.01,2.619,0.259,3.15,8.92,106.8,0.079,0,508.38,134.66,18.1,10.5
OBORIA-7,9622,53.28,2.38,0.231,33.44,9.07,86.4,0.196,1,508.38,134.66,18.1,10.5
OBORIA-7,9623,55.66,2.441,0.231,1.86,8.75,92.5,0.141,0,508.38,134.66,18.1,10.5
OBORIA-7,9624,23.58,2.157,0.323,33.69,8.76,88.2,0.299,1,508.38,134.66,18.1,10.5
OBORIA-7,9625,30.3,2.133,0.31,1.22,9.1,95.9,0.324,0,508.38,134.66,18.1,10.5
OBORIA-7,9626,79.48,2.538,0.268,3.11,8.86,103.8,0.118,0,508.38,134.66,18.1,10.5
OBORIA-7,9627,35.17,2.296,0.27,1.65,9.04,91.6,0.25,0,508.38,134.66,18.1,10.5
OBORIA-7,9628,44.76,2.259,0.262,1.74,8.81,97.6,0.213,0,508.38,134.66,18.1,10.5
OBORIA-7,9629,64.63,2.525,0.216,2.26,9.04,96.7,0.153,0,508.38,134.66,18.1,10.5
OBORIA-7,9630,35.16,2.327,0.27,40.54,8.8,93.3,0.21,1,508.38,134.66,18.1,10.5
OBORIA-7,9631,53.95,2.317,0.283,48.4,8.83,95.3,0.221,1,508.38,134.66,18.1,10.5
OBORIA-7,9632,45.67,2.289,0.263,37.58,8.81,93,0.216,1,508.38,134.66,18.1,10.5
OBORIA-7,9633,41.06,2.207,0.314,34.49,8.9,95.2,0.282,1,508.38,134.66,18.1,10.5
OBORIA-7,9634,40.89,2.343,0.261,37.75,8.8,92,0.218,1,508.38,134.66,18.1,10.5
OBORIA-7,9635,73.63,2.463,0.278,23.18,9.3,99.7,0.138,0,508.38,134.66,18.1,10.5
OBORIA-7,9636,54.16,2.394,0.254,1.81,8.93,95.8,0.186,0,508.38,134.66,18.1,10.5
OBORIA-7,9637,38.96,2.3,0.289,31.97,9.07,99.6,0.244,1,508.38,134.66,18.1,10.5
OBORIA-7,9638,67.78,2.499,0.262,2.45,8.98,101.7,0.159,0,508.38,134.66,18.1,10.5
OBORIA-7,9639,42.27,2.231,0.285,1.68,8.91,95,0.242,0,508.38,134.66,18.1,10.5
OBORIA-7,9640,68.44,2.528,0.274,3.04,8.88,99.9,0.134,0,508.38,134.66,18.1,10.5
OBORIA-8,9648,66.2,2.424,0.248,29.24,8.88,104.8,0.165,0,506.64,133.4,17.7,10.2
OBORIA-8,9649,75.04,2.482,0.264,2.71,8.91,106.1,0.126,0,506.64,133.4,17.7,10.2
OBORIA-8,9650,54.4,2.379,0.297,29.92,8.82,105.5,0.173,0,506.64,133.4,17.7,10.2
OBORIA-8,9651,88,2.51,0.317,3.44,8.82,119.3,0.127,0,506.64,133.4,17.7,10.2
OBORIA-8,9652,41.43,2.288,0.304,1.65,8.88,97.6,0.247,0,506.64,133.4,17.7,10.2
OBORIA-8,9653,71.33,2.424,0.266,2.14,8.94,106.7,0.17,0,506.64,133.4,17.7,10.2
OBORIA-8,9654,83.23,2.522,0.281,3.32,8.92,111.8,0.102,0,506.64,133.4,17.7,10.2
OBORIA-8,9655,65.66,2.427,0.268,29.93,9.69,105.4,0.165,0,506.64,133.4,17.7,10.2
OBORIA-8,9656,84.61,2.55,0.265,3.93,9.34,111,0.078,0,506.64,133.4,17.7,10.2
OBORIA-8,9657,37.11,2.408,0.224,32.7,9.07,86,0.176,0,506.64,133.4,17.7,10.2
OBORIA-8,9658,64.4,2.461,0.274,2.23,9.14,106,0.158,0,506.64,133.4,17.7,10.2
OBORIA-8,9659,62.38,2.401,0.265,47.19,8.98,98.3,0.201,1,506.64,133.4,17.7,10.2
OBORIA-8,9660,96.26,2.65,0.202,3.15,9,101.8,0.049,0,506.64,133.4,17.7,10.2
OBORIA-8,9661,38.8,2.236,0.318,1.81,8.88,101.9,0.268,0,506.64,133.4,17.7,10.2
OBORIA-8,9662,41.97,2.336,0.269,29.71,9.11,94.4,0.179,0,506.64,133.4,17.7,10.2
OBORIA-8,9663,69.98,2.439,0.256,2.35,9.24,97.4,0.127,0,506.64,133.4,17.7,10.2
OBORIA-8,9664,37.98,2.331,0.276,30.48,9.02,99.7,0.214,1,506.64,133.4,17.7,10.2
OBORIA-8,9665,61.27,2.451,0.268,2.16,8.99,101.3,0.175,0,506.64,133.4,17.7,10.2
OBORIA-8,9666,63.84,2.431,0.262,25.93,9.04,106.8,0.15,0,506.64,133.4,17.7,10.2
OBORIA-8,9667,50,2.263,0.321,2.01,8.87,102.1,0.241,0,506.64,133.4,17.7,10.2
OBORIA-8,9668,40.1,2.187,0.317,1.47,9.32,100.1,0.292,0,506.64,133.4,17.7,10.2
OBORIA-8,9669,56.88,2.39,0.282,30.95,8.77,101.7,0.192,1,506.64,133.4,17.7,10.2
OBORIA-8,9670,34.24,2.272,0.283,32.6,9.01,95.7,0.232,1,506.64,133.4,17.7,10.2
OBORIA-8,9671,65.55,2.496,0.237,2.75,8.98,103.3,0.128,0,506.64,133.4,17.7,10.2
OBORIA-8,9672,68.6,2.461,0.274,21.07,8.96,108.4,0.177,0,506.64,133.4,17.7,10.2
